Wall time,Step,Value
1733910332.7898684,4,60.28433609008789
1733910336.7805858,6,60.28433609008789
1733910339.0699258,7,60.28433609008789
1733910343.289397,9,60.28433609008789
1733910348.4891446,11,60.28433609008789
1733910350.916129,12,60.28433609008789
1733910355.2686288,14,68.10786437988281
1733910357.369175,15,68.10786437988281
1733910360.9714477,16,68.10786437988281
1733910363.1434884,17,68.10786437988281
1733910365.3338547,18,68.10786437988281
1733910367.4798431,19,68.10786437988281
1733910369.3296542,20,68.10786437988281
1733910371.3377488,21,68.10786437988281
1733910380.307696,25,68.10786437988281
1733910382.4852033,26,68.10786437988281
1733910394.3423734,31,68.10786437988281
1733910396.5381825,32,68.10786437988281
1733910400.141939,34,68.10786437988281
1733910402.56771,35,68.10786437988281
1733910407.940192,37,68.10786437988281
1733910413.5618865,40,68.10786437988281
1733910414.7195542,41,68.10786437988281
1733910419.2104337,43,68.10786437988281
1733910421.4357991,44,68.10786437988281
1733910423.5297058,45,68.10786437988281
1733910426.0155458,46,68.10786437988281
1733910429.6161053,48,68.10786437988281
1733910434.096834,50,68.10786437988281
1733910436.6933746,51,68.10786437988281
1733910442.5086012,54,68.10786437988281
1733910444.677116,55,68.10786437988281
1733910445.8719075,56,68.10786437988281
1733910449.047609,57,68.10786437988281
1733910451.1801653,58,68.10786437988281
1733910456.7021291,61,68.10786437988281
1733910459.0727527,62,68.10786437988281
1733910464.3926597,64,68.10786437988281
1733910468.370659,66,68.10786437988281
1733910470.5554502,67,68.10786437988281
1733910472.9946654,68,68.10786437988281
1733910475.2784624,69,68.10786437988281
1733910477.4458303,70,68.10786437988281
1733910481.7632012,72,68.10786437988281
1733910484.860477,73,68.10786437988281
1733910487.0193336,74,68.10786437988281
1733910490.4073749,75,68.10786437988281
1733910494.7617133,77,68.10786437988281
1733910498.4469154,79,68.10786437988281
1733910500.6584353,80,68.10786437988281
1733910514.324353,85,68.10786437988281
1733910516.457137,86,68.10786437988281
1733910518.658412,87,68.10786437988281
1733910520.8669546,88,68.10786437988281
1733910523.0923302,89,68.10786437988281
1733910525.2105136,90,68.10786437988281
1733910535.8775148,95,68.10786437988281
1733910551.8249207,103,68.10786437988281
1733910556.1782172,105,68.10786437988281
1733910557.6944754,106,68.10786437988281
1733910559.4618068,107,68.10786437988281
1733910575.601047,114,68.10786437988281
1733910582.5309284,117,68.10786437988281
1733910588.4824338,119,68.10786437988281
1733910590.480714,120,68.10786437988281
1733910592.6362524,121,68.10786437988281
1733910603.018347,125,68.10786437988281
1733910604.3944628,126,68.10786437988281
1733910606.172883,127,68.10786437988281
1733910613.6579883,130,68.10786437988281
1733910616.3557558,131,68.10786437988281
1733910623.994835,134,68.10786437988281
1733910633.3325708,138,68.10786437988281
1733910637.271698,140,68.10786437988281
1733910642.3435986,142,68.10786437988281
1733910646.1322694,143,68.10786437988281
1733910650.5545642,144,68.10786437988281
1733910652.8150003,145,68.10786437988281
1733910654.89728,146,68.10786437988281
1733910656.3792975,147,68.10786437988281
1733910660.3822997,149,68.10786437988281
1733910664.9557743,151,68.10786437988281
1733910674.240291,154,68.10786437988281
1733910675.800902,155,68.10786437988281
1733910680.256593,156,68.10786437988281
1733910684.8969643,158,68.10786437988281
1733910691.2432256,159,68.10786437988281
1733910693.1814866,160,68.10786437988281
1733910696.4556406,162,68.10786437988281
1733910698.7181444,163,68.10786437988281
1733910705.553741,165,68.10786437988281
1733910707.8834248,166,68.10786437988281
1733910711.7891405,168,68.10786437988281
1733910713.579593,169,68.10786437988281
1733910716.7107625,170,68.10786437988281
1733910722.5575566,172,68.10786437988281
1733910730.9343984,176,68.10786437988281
1733910733.4859028,177,68.10786437988281
1733910735.9445617,178,68.10786437988281
1733910742.4208646,179,68.10786437988281
1733910748.2812283,181,68.10786437988281
1733910752.73015,182,68.10786437988281
1733910757.819491,184,68.10786437988281
1733910761.5067277,186,68.10786437988281
1733910763.5960386,187,68.10786437988281
1733910765.0834262,188,68.10786437988281
1733910766.576202,189,68.10786437988281
1733910771.253643,191,68.10786437988281
1733910773.497674,192,68.10786437988281
1733910788.9295678,199,68.10786437988281
1733910796.7613888,203,68.10786437988281
1733910810.4745324,207,68.10786437988281
1733910812.6559181,208,68.10786437988281
1733910815.70784,209,68.10786437988281
1733910824.7021766,213,68.10786437988281
1733910827.4154744,214,68.10786437988281
1733910829.1158571,215,68.10786437988281
1733910830.5423622,216,68.10786437988281
1733910836.511738,219,68.10786437988281
1733910838.7321599,220,68.10786437988281
1733910843.7570412,222,68.10786437988281
1733910846.008223,223,68.10786437988281
1733910848.2619445,224,68.10786437988281
1733910852.4405558,226,68.10786437988281
1733910855.6036372,227,68.10786437988281
1733910858.1150234,228,68.10786437988281
1733910862.734824,230,68.10786437988281
1733910865.0529697,231,68.10786437988281
1733910867.36874,232,68.10786437988281
1733910871.5152044,233,68.10786437988281
1733910873.5424151,234,68.10786437988281
1733910875.1487417,235,68.10786437988281
1733910879.5252447,238,68.10786437988281
1733910881.8022559,239,68.10786437988281
1733910885.4760158,241,68.10786437988281
1733910895.7205493,245,68.10786437988281
1733910897.767741,246,68.10786437988281
1733910901.0633204,248,68.10786437988281
1733910905.5685863,250,68.10786437988281
1733910907.9299495,251,68.10786437988281
1733910919.5134692,256,68.10786437988281
1733910927.3111475,259,68.10786437988281
1733910929.320261,260,68.10786437988281
1733910931.697495,261,68.10786437988281
1733910934.2360125,262,68.10786437988281
1733910939.4045115,264,68.10786437988281
1733910948.236104,268,68.10786437988281
1733910951.7604346,270,68.10786437988281
1733910954.7488728,272,68.10786437988281
1733910957.2645833,273,68.10786437988281
1733910963.2847772,274,68.10786437988281
1733910965.6096613,275,68.10786437988281
1733910974.3463762,278,68.10786437988281
1733910976.946456,279,68.10786437988281
1733910980.2344291,281,68.10786437988281
1733910984.0043225,283,68.10786437988281
1733910988.7310352,285,68.10786437988281
1733911001.5660713,290,68.10786437988281
1733911006.5820997,292,68.10786437988281
1733911008.3696258,293,68.10786437988281
1733911014.7761078,296,68.10786437988281
1733911017.1051328,297,68.10786437988281
1733911019.6122208,298,68.10786437988281
1733911022.037869,299,68.10786437988281
1733911024.512567,300,68.10786437988281
1733911029.5933068,302,68.10786437988281
1733911031.9630995,303,68.10786437988281
1733911034.1223576,304,68.10786437988281
1733911041.5753882,308,68.10786437988281
1733911044.4995856,309,68.10786437988281
1733911051.59008,311,68.10786437988281
1733911062.3232439,314,68.10786437988281
1733911069.997392,318,68.10786437988281
1733911072.4728732,319,68.10786437988281
1733911074.0644217,320,68.10786437988281
1733911076.5633185,321,68.10786437988281
1733911082.049027,323,68.10786437988281
